,Missing Values,Missing Percentage
originating_base_num,5495740,26.452516929737907
hvfhs_license_num,0,0.0
dispatching_base_num,0,0.0
request_datetime,0,0.0
on_scene_datetime,0,0.0
pickup_datetime,0,0.0
dropoff_datetime,0,0.0
PULocationID,0,0.0
DOLocationID,0,0.0
trip_miles,0,0.0
trip_time,0,0.0
base_passenger_fare,0,0.0
tolls,0,0.0
bcf,0,0.0
sales_tax,0,0.0
congestion_surcharge,0,0.0
airport_fee,0,0.0
tips,0,0.0
driver_pay,0,0.0
shared_request_flag,0,0.0
shared_match_flag,0,0.0
access_a_ride_flag,0,0.0
wav_request_flag,0,0.0
wav_match_flag,0,0.0
cbd_congestion_fee,0,0.0
company,0,0.0
trip_duration_minutes,0,0.0
wait_time_minutes,0,0.0
total_amount,0,0.0
pickup_hour,0,0.0
pickup_day,0,0.0
pickup_date,0,0.0
pickup_month,0,0.0
